,g__Porphyromonas,g__Akkermansia,g__Coprococcus,g__Treponema,g__Streptococcus,g__Pseudoalteromonas,g__Fusobacterium,g__Staphylococcus,g__Actinomyces,g__Catonella,g__Neisseria,g__Leptotrichia,g__Bacillus,g__Lactococcus,g__Mobiluncus,g__Aerococcus,g__Dialister,g__Corynebacterium,g__Acinetobacter,g__Pseudomonas,g__Lactobacillus,g__Enterococcus,g__Kingella,g__Mannheimia,g__Bifidobacterium,g__Moraxella,g__Peptococcus,g__Mycobacterium,g__Sneathia,g__Haemophilus,g__Capnocytophaga,g__Conchiformibius,g__Prevotella,g__Anaerostipes,g__Acidaminococcus,g__Aggregatibacter,g__Rothia,g__Veillonella,g__Bacteroides,g__Lautropia,g__Kocuria,g__Shuttleworthia,g__Granulicatella,g__Tannerella,g__Megasphaera,g__Schwartzia,g__Geobacillus,g__Dorea,g__Campylobacter,g__Oribacterium,g__Ruminococcus,g__Acholeplasma,g__Actinobacillus,g__Atopobium,g__Parvimonas,g__Vagococcus,g__Pasteurella,g__Thauera,g__Erwinia,g__Scardovia,g__Gallibacterium,g__Anaerococcus,g__Butyrivibrio,g__Thermus,g__Alloscardovia,g__Peptostreptococcus,g__Bulleidia,g__Paludibacter,g__Desulfobulbus,g__Sharpea,g__Clostridium,g__Mogibacterium,g__Chelonobacter,g__Slackia,g__Selenomonas,g__Tetragenococcus,g__Gemella,g__Mycoplasma,g__Peptoniphilus,g__Serratia,g__Arcanobacterium,g__Lonepinella,g__Blautia,g__Micrococcus,g__Streptobacillus,g__Halomonas,g__Filifactor,g__Necropsobacter,g__Cardiobacterium,g__Eikenella,g__Arthrobacter,g__Cloacibacterium,g__Anaerovorax,g__Chryseobacterium,g__Listeria,g__Pedobacter,g__Bergeriella,g__Enterobacter
11808.6185.SALB.W2V11,82,0,0,125,2919,0,1295,1,200,2,183,33,4,0,0,1,3,48,1,0,5,3,9,6,2,0,0,1,0,7054,186,0,892,0,0,148,873,784,5,0,1,1,53,29,0,0,0,0,81,244,0,0,48,1,0,1,31,0,0,0,3,2,0,1,0,0,1,0,1,0,1,3,0,0,28,0,301,2,2,1,0,0,0,1,2,0,3,2,1,3,0,0,0,3,0,0,0,0
11808.6242.SALB.W2V11,517,0,4,475,16086,2,3885,5,1702,92,64143,509,11,6,1,3,272,320,5,1,89,24,568,22,171,5,0,1,1,15842,2645,2,15297,4,0,362,6615,6915,66,3620,8,77,1023,36,141,0,0,2,546,1122,0,2,87,314,41,5,82,0,0,26,10,13,1,0,0,99,15,0,0,0,8,100,2,1,360,1,3163,4,30,2,0,1,8,2,13,1,9,14,238,304,3,0,0,3,1,0,19,5
11808.6264.SALB.W2V11,13,0,2,65,11224,0,230,59,4023,24,32,17,10,4,1,11,84,136,2,9,15,34,23,2,20,0,0,0,0,1764,65,0,14771,7,0,42,3435,9740,46,0,5,12,686,143,380,0,0,1,163,240,0,3,16,90,0,23,10,0,0,12,2,38,0,0,0,37,0,0,0,0,30,67,0,5,344,0,417,24,35,0,3,0,2,0,0,0,2,1,35,24,0,0,0,0,0,2,0,0
11808.6297.SALB.W2V11,36,0,2,18,16876,1,436,4,2756,2,169,512,10,5,0,3,140,416,7,0,179,15,16,3,30,0,1,1,0,3419,340,0,12993,2,0,154,2361,12888,20,291,8,24,218,7,676,0,0,0,187,281,0,1,15,363,2,7,26,0,0,181,3,13,0,0,0,4,3,0,0,0,8,498,0,3,709,0,221,2,21,1,0,0,1,1,1,0,1,15,3,10,3,0,0,0,0,1,1,2
11808.6309.SALB.W2V11,41,0,0,63,19009,0,692,6,2530,2,466,223,14,4,1,4,45,217,7,0,9,15,46,6,46,0,0,1,3,4131,536,0,4453,1,0,85,24460,8641,6,56,24,2,542,109,903,0,0,0,256,43,0,0,29,44,4,5,18,0,0,5,4,5,0,0,0,0,0,0,0,0,4,47,0,0,185,0,1356,6,3,0,3,0,1,5,3,0,0,1,26,12,10,0,0,0,0,2,0,2
11808.6310.SALB.W2V11,861,0,3,476,9514,1,8557,17,4068,64,24066,1535,8,2,0,2,139,1826,1,1,9,16,223,18,14,6,2,0,0,13086,4616,1,18306,1,1,1666,5348,9724,107,951,7,16,620,88,260,0,0,1,676,1408,1,1,57,45,336,5,61,0,0,0,4,20,1,0,2,124,13,0,1,0,8,314,1,10,570,0,2470,160,31,2,3,0,4,9,16,0,54,17,175,405,1,0,0,8,1,4,7,1
11808.6332.SALB.W2V11,235,1,1,6,11467,0,6548,12,3212,83,73762,791,14,5,0,7,40,815,4,8,20,22,449,22,30,8,2,1,1,15050,5486,1,56538,3,2,622,5224,15089,274,9480,8,4,753,34,150,0,0,1,1205,2103,0,1,86,85,23,10,117,2,0,0,9,27,1,0,9,49,3,0,0,0,11,152,0,2,572,2,571,0,49,4,1,2,3,1,14,0,29,101,442,400,3,1,0,7,0,2,25,5
11808.6354.SALB.W2V11,659,0,5,78,24638,1,8867,19,4123,97,1450,797,16,6,1,7,238,595,3,1,24,36,146,19,45,1,0,1,1,17835,1652,2,88816,5,1,427,11311,29231,242,299,15,11,616,30,3110,0,0,3,1198,1850,1,2,101,234,311,14,131,0,0,2,9,37,0,0,0,40,96,0,0,0,17,1639,1,30,1582,1,2959,8,66,4,1,2,13,3,17,0,43,5,243,112,4,0,0,2,0,6,2,5
11808.6376.SALB.W2V11,2615,0,1,789,7105,1,8536,2,1301,79,26715,349,11,6,2,3,204,624,3,0,11,17,877,13,13,4,2,1,1,9979,2354,1,20611,0,2,774,4008,5886,82,2327,6,13,1018,559,213,0,0,0,874,794,0,0,72,66,171,3,48,0,0,1,7,12,0,0,6,101,32,0,8,0,9,152,0,12,150,1,1300,38,21,1,0,1,5,1,6,0,250,7,207,245,2,0,0,0,1,5,8,1
11808.6398.SALB.W2V11,2111,0,6,963,22862,4,11579,10,4476,63,8434,532,10,13,7,6,419,247,2,3,34,20,193,103,27,10,2,1,0,74072,596,2,71329,4,2,2751,6114,35432,248,767,11,84,348,52,750,0,0,2,1204,3126,1,2,417,397,177,18,455,0,1,30,40,37,1,0,0,238,28,0,0,0,27,934,1,20,798,1,2605,43,44,15,4,7,6,1,13,1,235,389,22,63,2,0,0,9,1,3,2,15
11808.6411.SALB.W2V11,964,0,6,128,50320,5,4459,27,14607,69,21111,3437,54,15,1,24,61,987,4,3,84,93,3560,48,123,0,4,2,2,46373,7176,1,203553,4,1,1064,24769,77494,356,4934,44,8,3843,314,3098,0,0,4,2048,11606,1,2,202,735,12,31,380,0,0,3,24,59,2,0,0,96,12,0,0,0,27,1292,1,9,2814,3,6894,0,61,8,7,3,6,11,13,1,16,11,609,304,15,2,0,11,3,1,9,11
11808.6433.SALB.W2V11,492,0,5,186,16977,2,2913,3,2939,48,11373,1439,9,5,0,8,622,534,1,1,46,21,897,19,25,0,0,0,0,16272,972,1,50728,4,1,682,10398,16871,195,1596,9,95,929,360,481,0,0,4,317,470,0,2,85,278,169,10,108,0,0,62,8,14,1,0,0,21,23,0,0,0,12,287,1,19,975,1,1691,23,17,3,0,2,9,1,12,1,41,32,29,80,4,0,0,7,1,1,3,4
11808.6488.SALB.W2V11,1606,0,3,70,24885,3,18800,13,1723,91,124896,821,20,5,1,8,365,700,5,4,34,45,506,88,26,19,1,0,0,67617,4657,8,34962,4,0,4044,21155,10855,182,10379,26,10,1416,108,49,0,0,1,615,1478,0,2,391,80,252,13,299,0,2,34,43,31,0,0,0,94,9,2,0,0,18,52,2,21,254,2,4358,134,35,14,1,5,7,6,14,2,29,36,629,907,12,1,0,24,1,6,40,10
11808.6501.SALB.W2V11,1735,1,4,284,19931,3,16222,13,5347,49,28745,1120,12,8,2,10,94,1143,1,2,24,26,333,58,24,5,2,0,4,39603,839,1,68551,6,1,2007,9832,25018,156,2067,13,11,501,440,1055,0,0,3,746,3828,1,4,233,133,72,19,214,1,0,0,25,40,1,0,6,214,10,0,6,0,28,710,0,10,470,0,3677,17,47,8,2,3,6,1,23,0,109,286,349,124,4,0,0,8,0,3,7,10
11808.6589.SALB.W2V11,1863,0,11,581,18791,3,13654,13,3449,58,10468,1919,12,23,3,5,200,1134,2,1,30,20,457,56,18,23,1,0,8,38799,1671,0,97190,2,0,1416,12092,44891,211,463,19,16,876,224,296,0,0,3,670,991,2,3,200,228,215,6,340,0,0,17,26,21,1,0,0,268,31,0,9,0,10,672,0,10,425,1,5476,50,35,8,1,3,10,3,14,1,174,87,318,181,6,0,0,8,0,2,2,8
